seed,fault_type,fault_prevalence,stream,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000
101,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,87,3,0.034482758620689655,76,16,0.7894736842105263,0.7543538038496792,0.5740146654445463,-29.789184234647113
101,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,70,11,0.15714285714285714,32,3,0.90625,0.7534818941504178,0.4818941504178273,55.710306406685234
101,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,116,11,0.09482758620689655,85,15,0.8235294117647058,0.7639780018331805,0.5517873510540788,-9.165902841429881
101,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,130,18,0.13846153846153847,103,17,0.8349514563106796,0.7781851512373968,0.5302474793767186,2.2914757103574703
101,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,77,2,0.025974025974025976,78,23,0.7051282051282051,0.7605407882676444,0.5744729605866178,-48.120989917506876
101,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,47,9,0.19148936170212766,37,15,0.5945945945945945,0.8015320334261838,0.47980501392757663,-41.78272980501393
101,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,93,9,0.0967741935483871,90,27,0.7,0.7797891842346472,0.5510999083409716,-41.24656278643447
101,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,102,14,0.13725490196078433,91,25,0.7252747252747253,0.803391384051329,0.5279560036663611,-25.20623281393217
101,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,78,3,0.038461538461538464,76,18,0.7631578947368421,0.7593950504124656,0.5763061411549038,-34.37213565536205
101,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,40,2,0.05,29,6,0.7931034482758621,0.7952646239554317,0.5055710306406686,-27.855153203342617
101,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,86,2,0.023255813953488372,82,18,0.7804878048780488,0.7777268560953254,0.5595783684692942,-36.663611365719525
101,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,92,5,0.05434782608695652,80,15,0.8125,0.8004124656278644,0.5405591200733272,-22.9147571035747
101,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,81,2,0.024691358024691357,75,17,0.7733333333333333,0.7571035747021082,0.5747021081576535,-34.37213565536205
101,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,50,8,0.16,31,4,0.8709677419354839,0.7597493036211699,0.47701949860724235,27.855153203342617
101,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,96,8,0.08333333333333333,84,16,0.8095238095238095,0.7660403299725023,0.5501833180568286,-18.331805682859763
101,stuck_at,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,120,20,0.16666666666666666,91,12,0.8681318681318682,0.7802474793767186,0.5265811182401466,18.331805682859763
101,none,0.0,clean_no_imposed_fault,Lite-CF-6,2.0,4364,77,1,0.012987012987012988,74,18,0.7567567567567568,0.7561869844179652,0.5799725022914757,-38.95508707607699
102,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,71,7,0.09859154929577464,35,3,0.9142857142857143,0.6952337305224565,0.5763061411549038,9.165902841429881
102,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,37,2,0.05405405405405406,16,0,1.0,0.7249303621169917,0.47284122562674097,13.927576601671309
102,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,74,2,0.02702702702702703,42,3,0.9285714285714286,0.7094408799266728,0.5494958753437214,-2.2914757103574703
102,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,121,16,0.1322314049586777,43,7,0.8372093023255813,0.7192942254812099,0.5158111824014665,20.623281393217233
102,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,52,0,0.0,32,3,0.90625,0.7062328139321723,0.5790559120073328,-6.8744271310724105
102,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,10,1,0.1,3,0,1.0,0.8467966573816156,0.5118384401114207,6.963788300835654
102,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,47,1,0.02127659574468085,29,3,0.896551724137931,0.7495417048579285,0.5623281393217232,-4.582951420714941
102,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,44,1,0.022727272727272728,22,4,0.8181818181818181,0.784372135655362,0.5435380384967919,-6.8744271310724105
102,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,50,0,0.0,33,3,0.9090909090909091,0.7060036663611365,0.5804307974335472,-6.8744271310724105
102,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,5,2,0.4,6,0,1.0,0.8328690807799443,0.5383008356545961,13.927576601671309
102,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,42,2,0.047619047619047616,32,3,0.90625,0.7449587534372135,0.5710357470210816,-2.2914757103574703
102,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,38,2,0.05263157894736842,31,4,0.8709677419354839,0.7729147571035747,0.5595783684692942,-4.582951420714941
102,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,53,0,0.0,32,3,0.90625,0.696608615948671,0.5785976168652612,-6.8744271310724105
102,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,16,1,0.0625,2,0,1.0,0.7158774373259053,0.5146239554317549,6.963788300835654
102,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,53,1,0.018867924528301886,28,3,0.8928571428571429,0.7064619615032081,0.5632447296058661,-4.582951420714941
102,stuck_at,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,50,1,0.02,20,5,0.75,0.7144821264894592,0.5451420714940421,-9.165902841429881
102,none,0.0,clean_no_imposed_fault,Lite-CF-6,2.0,4364,55,0,0.0,32,3,0.90625,0.6952337305224565,0.580659945004583,-6.8744271310724105
103,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,50,0,0.0,61,0,1.0,0.4454628780934922,0.5694317140238313,0.0
103,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,49,0,0.0,15,0,1.0,0.48676880222841223,0.44707520891364905,0.0
103,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,79,0,0.0,54,0,1.0,0.46379468377635197,0.5394133822181485,0.0
103,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,83,0,0.0,54,0,1.0,0.46837763519706693,0.5098533455545371,0.0
103,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,52,0,0.0,59,0,1.0,0.459211732355637,0.5698900091659028,0.0
103,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,42,0,0.0,3,0,1.0,0.6525069637883009,0.4610027855153203,0.0
103,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,72,0,0.0,42,0,1.0,0.5183318056828597,0.5439963336388635,0.0
103,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,98,0,0.0,30,0,1.0,0.5680568285976169,0.5112282309807517,0.0
103,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,45,0,0.0,59,0,1.0,0.458295142071494,0.5728689275893676,0.0
103,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,28,0,0.0,5,0,1.0,0.6427576601671309,0.49512534818941506,0.0
103,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,58,0,0.0,44,0,1.0,0.5151237396883593,0.555224564619615,0.0
103,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,74,0,0.0,35,0,1.0,0.5648487626031164,0.5311640696608616,0.0
103,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,46,0,0.0,62,0,1.0,0.445692025664528,0.5721814848762603,0.0
103,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,35,0,0.0,13,0,1.0,0.46935933147632314,0.4763231197771588,0.0
103,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,65,0,0.0,52,0,1.0,0.4580659945004583,0.5490375802016498,0.0
103,stuck_at,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,80,0,0.0,52,0,1.0,0.4640238313473877,0.5210815765352887,0.0
103,none,0.0,clean_no_imposed_fault,Lite-CF-6,2.0,4364,42,0,0.0,60,0,1.0,0.445692025664528,0.5776810265811182,0.0
104,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,41,0,0.0,36,0,1.0,0.5861594867094408,0.5701191567369386,0.0
104,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,43,0,0.0,17,2,0.8823529411764706,0.5870473537604457,0.4637883008356546,-13.927576601671309
104,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,60,0,0.0,40,2,0.95,0.5916590284142988,0.5451420714940421,-4.582951420714941
104,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,108,1,0.009259259259259259,45,0,1.0,0.5831805682859762,0.5066452795600367,2.2914757103574703
104,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,33,0,0.0,39,1,0.9743589743589743,0.5831805682859762,0.5730980751604033,-2.2914757103574703
104,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,41,0,0.0,33,2,0.9393939393939394,0.5250696378830083,0.4972144846796657,-13.927576601671309
104,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,58,0,0.0,56,2,0.9642857142857143,0.5712648945921174,0.556141154903758,-4.582951420714941
104,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,80,0,0.0,83,2,0.9759036144578314,0.5531622364802933,0.5341429880843263,-4.582951420714941
104,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,30,0,0.0,32,0,1.0,0.5845554537121906,0.5728689275893676,0.0
104,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,24,0,0.0,18,0,1.0,0.5389972144846796,0.5125348189415042,0.0
104,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,41,0,0.0,41,0,1.0,0.5758478460128322,0.5611824014665444,0.0
104,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,58,0,0.0,49,0,1.0,0.5650779101741522,0.5421631530705775,0.0
104,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,31,0,0.0,39,0,1.0,0.5790559120073328,0.5735563703024747,0.0
104,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,41,0,0.0,36,0,1.0,0.4818941504178273,0.48467966573816157,0.0
104,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,58,0,0.0,59,0,1.0,0.557057745187901,0.5520164986251146,0.0
104,stuck_at,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,95,0,0.0,83,0,1.0,0.5336846929422548,0.5258936755270394,0.0
104,none,0.0,clean_no_imposed_fault,Lite-CF-6,2.0,4364,26,0,0.0,31,0,1.0,0.5886801099908341,0.5797433547204399,0.0
105,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,80,3,0.0375,55,1,0.9818181818181818,0.7011915673693859,0.5682859761686526,4.582951420714941
105,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,36,7,0.19444444444444445,14,2,0.8571428571428572,0.7228412256267409,0.47214484679665736,34.81894150417827
105,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,81,7,0.08641975308641975,52,2,0.9615384615384616,0.7151695692025665,0.5467461044912924,11.45737855178735
105,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,94,14,0.14893617021276595,46,3,0.9347826086956522,0.7298350137488543,0.522685609532539,25.20623281393217
105,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,74,0,0.0,54,0,1.0,0.7027956003666361,0.571494042163153,0.0
105,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,34,6,0.17647058823529413,22,0,1.0,0.7228412256267409,0.5034818941504178,41.78272980501393
105,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,79,6,0.0759493670886076,60,0,1.0,0.7151695692025665,0.557057745187901,13.748854262144821
105,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,76,9,0.11842105263157894,60,0,1.0,0.7280018331805683,0.5387259395050412,20.623281393217233
105,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,71,0,0.0,57,0,1.0,0.7034830430797434,0.5737855178735105,0.0
105,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,20,1,0.05,16,0,1.0,0.7311977715877437,0.5292479108635098,6.963788300835654
105,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,65,1,0.015384615384615385,54,0,1.0,0.7179193400549955,0.5655362053162236,2.2914757103574703
105,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,50,4,0.08,54,0,1.0,0.7344179651695693,0.5575160403299725,9.165902841429881
105,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,78,0,0.0,52,0,1.0,0.7023373052245646,0.5692025664527957,0.0
105,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,45,1,0.022222222222222223,11,0,1.0,0.7207520891364902,0.45473537604456826,6.963788300835654
105,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,90,1,0.011111111111111112,49,0,1.0,0.7144821264894592,0.5410174152153987,2.2914757103574703
105,stuck_at,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,94,3,0.031914893617021274,39,0,1.0,0.7234188817598534,0.513519706691109,6.8744271310724105
105,none,0.0,clean_no_imposed_fault,Lite-CF-6,2.0,4364,77,0,0.0,53,0,1.0,0.7002749770852429,0.5765352887259395,0.0
106,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,30,3,0.1,35,3,0.9142857142857143,0.8166819431714024,0.5774518790100825,0.0
106,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,38,14,0.3684210526315789,13,0,1.0,0.8440111420612814,0.4763231197771588,97.49303621169916
106,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,53,15,0.2830188679245283,34,1,0.9705882352941176,0.830659945004583,0.5536205316223648,32.080659945004584
106,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,75,27,0.36,46,12,0.7391304347826086,0.8503666361136571,0.5222273143904674,34.37213565536205
106,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,23,1,0.043478260869565216,33,1,0.9696969696969697,0.8178276810265811,0.5804307974335472,0.0
106,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,22,2,0.09090909090909091,10,1,0.9,0.8662952646239555,0.5083565459610028,6.963788300835654
106,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,37,3,0.08108108108108109,31,2,0.935483870967742,0.8379926672777268,0.5641613198900092,2.2914757103574703
106,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,46,12,0.2608695652173913,36,6,0.8333333333333334,0.8524289642529789,0.5476626947754354,13.748854262144821
106,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,27,4,0.14814814814814814,33,1,0.9696969696969697,0.8178276810265811,0.5818056828597616,6.8744271310724105
106,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,21,7,0.3333333333333333,15,1,0.9333333333333333,0.8655988857938719,0.5271587743732591,41.78272980501393
106,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,36,8,0.2222222222222222,36,2,0.9444444444444444,0.8377635197066912,0.5703483043079743,13.748854262144821
106,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,48,13,0.2708333333333333,42,6,0.8571428571428572,0.8570119156736938,0.5575160403299725,16.040329972502292
106,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,23,1,0.043478260869565216,34,1,0.9705882352941176,0.8150779101741522,0.5808890925756187,0.0
106,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,21,0,0.0,26,0,1.0,0.8015320334261838,0.504874651810585,0.0
106,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,36,1,0.027777777777777776,47,1,0.9787234042553191,0.8166819431714024,0.5630155820348305,0.0
106,stuck_at,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,44,1,0.022727272727272728,51,1,0.9803921568627451,0.8157653528872594,0.5426214482126489,0.0
106,none,0.0,clean_no_imposed_fault,Lite-CF-6,2.0,4364,20,1,0.05,30,1,0.9666666666666667,0.8130155820348305,0.5852428964252979,0.0
107,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,82,5,0.06097560975609756,52,1,0.9807692307692307,0.7791017415215399,0.576993583868011,9.165902841429881
107,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,56,16,0.2857142857142857,14,4,0.7142857142857143,0.8335654596100278,0.4658774373259053,83.56545961002786
107,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,108,16,0.14814814814814814,50,4,0.92,0.7988084326306141,0.5508707607699358,27.497708524289642
107,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,121,27,0.2231404958677686,53,3,0.9433962264150944,0.8249312557286893,0.5229147571035747,54.995417048579284
107,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,74,2,0.02702702702702703,52,0,1.0,0.7823098075160403,0.5792850595783685,4.582951420714941
107,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,38,6,0.15789473684210525,18,0,1.0,0.8447075208913649,0.46935933147632314,41.78272980501393
107,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,90,6,0.06666666666666667,54,0,1.0,0.8024747937671861,0.5520164986251146,13.748854262144821
107,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,89,10,0.11235955056179775,56,0,1.0,0.8201191567369386,0.5249770852428964,22.9147571035747
107,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,72,1,0.013888888888888888,49,0,1.0,0.7809349220898258,0.5827222731439047,2.2914757103574703
107,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,32,5,0.15625,10,0,1.0,0.8377437325905293,0.5118384401114207,34.81894150417827
107,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,84,5,0.05952380952380952,46,0,1.0,0.8001833180568286,0.5659945004582951,11.45737855178735
107,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,84,5,0.05952380952380952,47,0,1.0,0.8198900091659028,0.5508707607699358,11.45737855178735
107,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,86,3,0.03488372093023256,53,0,1.0,0.7733730522456462,0.5795142071494043,6.8744271310724105
107,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,86,15,0.1744186046511628,16,2,0.875,0.7576601671309192,0.4456824512534819,90.5292479108635
107,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,138,15,0.10869565217391304,52,2,0.9615384615384616,0.7738313473877176,0.5442254812098992,29.789184234647113
107,stuck_at,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,181,23,0.1270718232044199,48,2,0.9583333333333334,0.7729147571035747,0.5077910174152154,48.120989917506876
107,none,0.0,clean_no_imposed_fault,Lite-CF-6,2.0,4364,72,0,0.0,53,0,1.0,0.7781851512373968,0.5877635197066912,0.0
108,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,25,0,0.0,53,0,1.0,0.0,0.6028872593950504,0.0
108,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,39,0,0.0,24,0,1.0,0.002785515320334262,0.49442896935933145,0.0
108,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,46,0,0.0,59,0,1.0,0.0009165902841429881,0.5763061411549038,0.0
108,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,63,0,0.0,66,1,0.9848484848484849,0.0009165902841429881,0.5476626947754354,-2.2914757103574703
108,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,18,0,0.0,50,0,1.0,0.0,0.6010540788267644,0.0
108,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,21,0,0.0,14,1,0.9285714285714286,0.0006963788300835655,0.47284122562674097,-6.963788300835654
108,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,28,0,0.0,49,1,0.9795918367346939,0.00022914757103574703,0.5692025664527957,-2.2914757103574703
108,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,52,0,0.0,41,1,0.975609756097561,0.00045829514207149406,0.5316223648029331,-2.2914757103574703
108,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,18,0,0.0,48,0,1.0,0.0,0.6019706691109075,0.0
108,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,17,0,0.0,11,0,1.0,0.001392757660167131,0.49164345403899723,0.0
108,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,24,0,0.0,46,0,1.0,0.00045829514207149406,0.5753895508707608,0.0
108,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,34,0,0.0,34,0,1.0,0.00045829514207149406,0.5462878093492209,0.0
108,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,21,0,0.0,54,0,1.0,0.0,0.6003666361136571,0.0
108,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,25,0,0.0,17,0,1.0,0.0,0.4637883008356546,0.0
108,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,32,0,0.0,52,0,1.0,0.0,0.5662236480293309,0.0
108,stuck_at,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,63,0,0.0,47,0,1.0,0.0,0.5265811182401466,0.0
108,none,0.0,clean_no_imposed_fault,Lite-CF-6,2.0,4364,15,0,0.0,49,0,1.0,0.0,0.6102199816681944,0.0
109,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,39,0,0.0,41,0,1.0,0.0,0.6065536205316223,0.0
109,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,49,0,0.0,27,0,1.0,0.0,0.49025069637883006,0.0
109,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,65,0,0.0,54,0,1.0,0.0,0.580659945004583,0.0
109,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,109,0,0.0,40,0,1.0,0.0,0.5462878093492209,0.0
109,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,28,0,0.0,43,0,1.0,0.0,0.6093033913840513,0.0
109,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,49,0,0.0,20,0,1.0,0.0,0.46657381615598886,0.0
109,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,65,0,0.0,47,0,1.0,0.0,0.5728689275893676,0.0
109,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,93,0,0.0,47,0,1.0,0.0,0.5336846929422548,0.0
109,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,30,0,0.0,42,0,1.0,0.0,0.6125114573785518,0.0
109,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,43,0,0.0,22,0,1.0,0.0,0.5215877437325905,0.0
109,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,59,0,0.0,49,0,1.0,0.0,0.5909715857011916,0.0
109,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,77,0,0.0,47,0,1.0,0.0,0.5671402383134739,0.0
109,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,26,0,0.0,44,0,1.0,0.0,0.6083868010999084,0.0
109,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,36,0,0.0,13,0,1.0,0.0,0.4533426183844011,0.0
109,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,52,0,0.0,40,0,1.0,0.0,0.5685151237396884,0.0
109,stuck_at,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,72,0,0.0,32,0,1.0,0.0,0.5256645279560037,0.0
109,none,0.0,clean_no_imposed_fault,Lite-CF-6,2.0,4364,22,0,0.0,41,0,1.0,0.0,0.6182401466544455,0.0
110,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,44,4,0.09090909090909091,33,7,0.7878787878787878,0.19958753437213567,0.5967002749770852,-6.8744271310724105
110,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,42,12,0.2857142857142857,17,4,0.7647058823529411,0.23885793871866295,0.4637883008356546,55.710306406685234
110,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,67,15,0.22388059701492538,38,8,0.7894736842105263,0.20325389550870762,0.5614115490375802,16.040329972502292
110,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,90,28,0.3111111111111111,35,14,0.6,0.2197525206232814,0.5247479376718607,32.080659945004584
110,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,42,4,0.09523809523809523,30,6,0.8,0.1934005499541705,0.5953253895508708,-4.582951420714941
110,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,32,3,0.09375,9,0,1.0,0.15041782729805014,0.49025069637883006,20.891364902506965
110,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,57,6,0.10526315789473684,30,4,0.8666666666666667,0.17415215398716774,0.5701191567369386,4.582951420714941
110,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,69,7,0.10144927536231885,17,1,0.9411764705882353,0.15375802016498624,0.5366636113657195,13.748854262144821
110,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,39,5,0.1282051282051282,29,6,0.7931034482758621,0.19087992667277726,0.5980751604032998,-2.2914757103574703
110,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,17,2,0.11764705882352941,4,0,1.0,0.14763231197771587,0.5250696378830083,13.927576601671309
110,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,42,5,0.11904761904761904,25,4,0.84,0.17323556370302476,0.581576535288726,2.2914757103574703
110,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,43,5,0.11627906976744186,14,1,0.9285714285714286,0.1535288725939505,0.5575160403299725,9.165902841429881
110,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,39,4,0.10256410256410256,33,7,0.7878787878787878,0.19179651695692027,0.5976168652612283,-6.8744271310724105
110,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,32,6,0.1875,11,1,0.9090909090909091,0.16504178272980502,0.5188022284122563,34.81894150417827
110,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,57,9,0.15789473684210525,32,5,0.84375,0.17896425297891844,0.5795142071494043,9.165902841429881
110,stuck_at,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,76,13,0.17105263157894737,31,4,0.8709677419354839,0.16750687442713108,0.5559120073327223,20.623281393217233
110,none,0.0,clean_no_imposed_fault,Lite-CF-6,2.0,4364,37,4,0.10810810810810811,34,7,0.7941176470588236,0.19615032080659944,0.6051787351054079,-6.8744271310724105
