building,method,alpha,threshold,empirical_coverage,mean_set_size,singleton_rate,singleton_accuracy,empty_rate
auditorium,CAGF,0.05,0.011140167713165172,0.7243959803292709,0.7243959803292709,0.7243959803292709,1.0,0.2756040196707291
auditorium,CAGF,0.1,0.006743133068084828,0.673829377806286,0.673829377806286,0.673829377806286,1.0,0.3261706221937139
auditorium,CAGF,0.2,0.004464983940124401,0.6483857173401754,0.6483857173401754,0.6483857173401754,1.0,0.3516142826598247
auditorium,EF-PD,0.05,0.0014122724533079944,0.9338251015608295,0.9339320076972418,0.9339320076972418,0.9998855311355311,0.06606799230275817
auditorium,EF-PD,0.1,6.800889968883173e-05,0.8319435535599743,0.8319435535599743,0.8319435535599743,1.0,0.16805644644002565
auditorium,EF-PD,0.2,9.179115295410156e-06,0.7261064785118666,0.7261064785118666,0.7261064785118666,1.0,0.2738935214881334
auditorium,ENT-PD,0.05,0.023907065391540416,0.7195852041907206,0.7195852041907206,0.7195852041907206,1.0,0.28041479580927947
auditorium,ENT-PD,0.1,0.005701839923858643,0.5476801368398546,0.5476801368398546,0.5476801368398546,1.0,0.4523198631601454
auditorium,ENT-PD,0.2,0.0030012130737303577,0.45253367543296985,0.45253367543296985,0.45253367543296985,1.0,0.5474663245670301
auditorium,HGB-current,0.05,0.002540600212642574,0.6958520419072055,0.6958520419072055,0.6958520419072055,1.0,0.30414795809279455
auditorium,HGB-current,0.1,0.0019102626951755797,0.6574727389352149,0.6574727389352149,0.6574727389352149,1.0,0.3425272610647851
auditorium,HGB-current,0.2,0.0011221362127585843,0.4769082745349583,0.4769082745349583,0.4769082745349583,1.0,0.5230917254650417
auditorium,HGB-lag,0.05,0.004112923984179173,0.6824887748556767,0.6824887748556767,0.6824887748556767,1.0,0.3175112251443233
auditorium,HGB-lag,0.1,0.0020804041453099664,0.6266837716484926,0.6266837716484926,0.6266837716484926,1.0,0.37331622835150735
auditorium,HGB-lag,0.2,0.0011452490482536382,0.5584776566174898,0.5584776566174898,0.5584776566174898,1.0,0.4415223433825102
auditorium,PDRF-NOQ,0.05,0.011097550392150768,0.6151379089159718,0.6151379089159718,0.6151379089159718,1.0,0.38486209108402825
auditorium,PDRF-NOQ,0.1,0.004076123237609974,0.523198631601454,0.523198631601454,0.523198631601454,1.0,0.4768013683985461
auditorium,PDRF-NOQ,0.2,0.0028374791145323597,0.4523198631601454,0.4523198631601454,0.4523198631601454,1.0,0.5476801368398546
auditorium,RC-PDRF-NOQ,0.05,0.01071155071258545,0.6203763096001711,0.6203763096001711,0.6203763096001711,1.0,0.37962369039982896
auditorium,RC-PDRF-NOQ,0.1,0.0037779808044433594,0.525122942056874,0.525122942056874,0.525122942056874,1.0,0.47487705794312596
auditorium,RC-PDRF-NOQ,0.2,0.0023443102836607776,0.4467607440667094,0.4467607440667094,0.4467607440667094,1.0,0.5532392559332906
auditorium,UF-PD,0.05,0.02479553222656239,0.6913619841778919,0.6913619841778919,0.6913619841778919,1.0,0.3086380158221082
auditorium,UF-PD,0.1,0.008043169975280762,0.6004917682274963,0.6004917682274963,0.6004917682274963,1.0,0.3995082317725037
auditorium,UF-PD,0.2,0.0021612048149107776,0.4253795167842634,0.4253795167842634,0.4253795167842634,1.0,0.5746204832157366
hospital,CAGF,0.05,0.04398453235626221,0.7026276436658834,0.717795342875454,0.717795342875454,0.9788690476190476,0.282204657124546
hospital,CAGF,0.1,0.03492385149002075,0.5858790856654561,0.5970946378978851,0.5970946378978851,0.981216457960644,0.4029053621021149
hospital,CAGF,0.2,0.02292233705520641,0.4751121555223243,0.4833368938261055,0.4833368938261055,0.9829834254143647,0.5166631061738944
hospital,EF-PD,0.05,0.6438243389129639,0.9850459303567614,1.022965178380688,0.9770348216193121,0.9846944353339893,0.0
hospital,EF-PD,0.1,0.618920236825943,0.9833368938261056,1.0167699209570604,0.9832300790429396,0.9830526887561108,0.0
hospital,EF-PD,0.2,0.2758585214614868,0.9406109805597095,0.9508651997436445,0.9508651997436445,0.9892159065378566,0.04913480025635548
hospital,ENT-PD,0.05,0.03981149196624756,0.7353129673146763,0.7441785943174536,0.7441785943174536,0.9880866944165351,0.25582140568254647
hospital,ENT-PD,0.1,0.02231156826019276,0.5199743644520401,0.5226447340311899,0.5226447340311899,0.9948906601267117,0.47735526596881006
hospital,ENT-PD,0.2,0.013714194297790416,0.3967101046784875,0.39724417859431743,0.39724417859431743,0.9986555525678946,0.6027558214056825
hospital,HGB-current,0.05,0.015598180947776763,0.3860286263618885,0.3860286263618885,0.3860286263618885,1.0,0.6139713736381115
hospital,HGB-current,0.1,0.01538696524936256,0.3715018158513138,0.3715018158513138,0.3715018158513138,1.0,0.6284981841486862
hospital,HGB-current,0.2,0.01538696524936256,0.3715018158513138,0.3715018158513138,0.3715018158513138,1.0,0.6284981841486862
hospital,HGB-lag,0.05,0.018782169244210167,0.6705832087160863,0.673039948728904,0.673039948728904,0.9963497857482939,0.3269600512710959
hospital,HGB-lag,0.1,0.017652387877692854,0.6365092928861354,0.6387524033326213,0.6387524033326213,0.9964882943143812,0.36124759666737877
hospital,HGB-lag,0.2,0.016747112747940385,0.6033967101046784,0.6055330057679983,0.6055330057679983,0.9964720409243253,0.3944669942320017
hospital,PDRF-NOQ,0.05,0.30503857135772705,0.9693441572313608,0.9979705191198461,0.9979705191198461,0.9713154233115702,0.0020294808801538133
hospital,PDRF-NOQ,0.1,0.10795223712921143,0.9335612048707541,0.9617603076265755,0.9617603076265755,0.9706796979120391,0.038239692373424485
hospital,PDRF-NOQ,0.2,0.04944562911987305,0.8629566331980346,0.8893398846400342,0.8893398846400342,0.9703338938265674,0.11066011535996582
hospital,RC-PDRF-NOQ,0.05,0.14354389905929565,0.9449903866695151,0.9731894894253365,0.9731894894253365,0.9710240368784985,0.026810510574663535
hospital,RC-PDRF-NOQ,0.1,0.052628517150878795,0.8745994445631275,0.9016235847041231,0.9016235847041231,0.9700272479564033,0.09837641529587694
hospital,RC-PDRF-NOQ,0.2,0.03003108501434315,0.82685323648793,0.8506729331339458,0.8506729331339458,0.9719989954796585,0.14932706686605426
hospital,UF-PD,0.05,0.03303450345993042,0.6448408459730827,0.6528519547105319,0.6528519547105319,0.987729057591623,0.3471480452894681
hospital,UF-PD,0.1,0.02253931760787964,0.5249946592608417,0.5256355479598377,0.5256355479598377,0.9987807356228409,0.47436445204016237
hospital,UF-PD,0.2,0.01741945743560802,0.43751335184789575,0.43751335184789575,0.43751335184789575,1.0,0.5624866481521043
office,CAGF,0.05,0.15315139293670654,0.8748626732932252,0.8749149882291394,0.8749149882291394,0.999940205692418,0.1250850117708606
office,CAGF,0.1,0.11382472515106201,0.8676955270729794,0.8676955270729794,0.8676955270729794,1.0,0.13230447292702066
office,CAGF,0.2,0.0447559356689452,0.817734763274915,0.817734763274915,0.817734763274915,1.0,0.18226523672508502
office,EF-PD,0.05,0.024846851825714,0.9007585665707559,0.9031650536228093,0.9031650536228093,0.9973354958294718,0.09683494637719069
office,EF-PD,0.1,0.007991969585418812,0.8294009939837824,0.8302380329584096,0.8302380329584096,0.9989918084436042,0.16976196704159038
office,EF-PD,0.2,0.0017755627632140003,0.6662307088673817,0.6662307088673817,0.6662307088673817,1.0,0.3337692911326184
office,ENT-PD,0.05,0.35985416173934937,0.9693434475542767,0.9815851425582004,0.9815851425582004,0.987528646804882,0.018414857441799635
office,ENT-PD,0.1,0.11794841289520264,0.9161391577295318,0.9213183363850379,0.9213183363850379,0.9943785134291068,0.07868166361496207
office,ENT-PD,0.2,0.04659759998321522,0.7685587235155636,0.7696573371697619,0.7696573371697619,0.9985725938009788,0.23034266283023802
office,HGB-current,0.05,0.10233485707481405,0.95631702851164,0.9832592205074548,0.9832592205074548,0.9725990955041235,0.01674077949254512
office,HGB-current,0.1,0.025785098438246612,0.9346586450431599,0.9398901386345802,0.9398901386345802,0.9944339307580986,0.06010986136541983
office,HGB-current,0.2,0.007097575340931805,0.7737379021710699,0.7776092074287209,0.7776092074287209,0.995021528525296,0.2223907925712791
office,HGB-lag,0.05,0.12841961212704722,0.9588281454355219,0.9834684802511117,0.9834684802511117,0.9749454758231821,0.016531519748888307
office,HGB-lag,0.1,0.028348972584280596,0.9392623594036097,0.9443892231232017,0.9443892231232017,0.9945712386439176,0.05561077687679833
office,HGB-lag,0.2,0.0057367812711928146,0.871985351817944,0.8757520272037667,0.8757520272037667,0.9956989247311828,0.12424797279623333
office,PDRF-NOQ,0.05,0.6590880751609802,0.9401517133141511,1.0422704682186765,0.9577295317813236,0.9375102419839406,0.0
office,PDRF-NOQ,0.1,0.49284470081329346,0.9195919434998692,0.9981689772430029,0.9981689772430029,0.9212788259958071,0.0018310227569971226
office,PDRF-NOQ,0.2,0.17945271730422974,0.8260528380852733,0.8299241433429244,0.8299241433429244,0.9953353504790721,0.17007585665707559
office,RC-PDRF-NOQ,0.05,0.6540127396583557,0.9390530996599529,1.040387130525765,0.9596128694742349,0.9364880335822929,0.0
office,RC-PDRF-NOQ,0.1,0.49255257844924927,0.9183886999738425,0.9982736071148313,0.9982736071148313,0.9199769416203752,0.0017263928851687157
office,RC-PDRF-NOQ,0.2,0.16946780681610107,0.8504315982212922,0.8543552184148574,0.8543552184148574,0.9954075071949054,0.14564478158514255
office,UF-PD,0.05,0.408119797706604,0.9699712267852472,0.9847763536489668,0.9847763536489668,0.9849660008499788,0.01522364635103322
office,UF-PD,0.1,0.2249833345413208,0.8921266021449124,0.9001831022756998,0.9001831022756998,0.9910501540070902,0.09981689772430029
office,UF-PD,0.2,0.08634203672409058,0.7745226262097828,0.7782369866596913,0.7782369866596913,0.9952272116160258,0.22176301334030865
